trip_id,stop_id,stop_sequence,arrival_time,departure_time,shape_dist_traveled
t-r_25_-weekday-06:00:00-1-1,shape_408-1-1,0,06:12:00,06:12:00,2.000000
t-r_25_-weekday-06:00:00-1-1,shape_523-1-0,1,07:00:33,07:00:33,12142.000000
t-r_25_-weekday-06:00:00-1-1,shape_523-1-1,2,07:00:33,07:00:33,12143.000000
t-r_25_-weekday-06:00:00-1-1,shape_450-1-1,3,09:06:31,09:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-1,shape_451-1-1,4,09:06:31,09:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-1,shape_490-1-0,5,09:06:32,09:06:32,43636.000000
t-r_25_-weekday-06:00:00-1-1,shape_490-1-1,6,09:06:33,09:06:33,43641.000000
t-r_25_-weekday-06:00:00-1-1,shape_491-1-0,7,09:06:34,09:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-1,shape_489-1-0,8,09:06:34,09:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-1,shape_450-1-0,9,09:06:35,09:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-1,shape_451-1-0,10,09:06:35,09:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-1,shape_650-1-1,11,09:11:04,09:11:04,44770.000000
t-r_25_-weekday-06:00:00-1-1,shape_650-1-0,12,09:11:04,09:11:04,44771.000000
t-r_25_-weekday-06:00:00-1-1,shape_431-1-0,13,09:22:30,09:22:30,47629.000000
t-r_25_-weekday-06:00:00-1-1,shape_431-1-1,14,09:22:31,09:22:31,47633.000000
t-r_25_-weekday-06:00:00-1-1,shape_574-1-1,15,09:33:39,09:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-1,shape_574-1-0,16,09:33:39,09:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-1,shape_408-1-0,17,09:56:47,09:56:47,56200.000000
t-r_25_-weekday-06:00:00-1-2,shape_408-1-1,0,06:24:00,06:24:00,2.000000
t-r_25_-weekday-06:00:00-1-2,shape_523-1-0,1,07:12:33,07:12:33,12142.000000
t-r_25_-weekday-06:00:00-1-2,shape_523-1-1,2,07:12:33,07:12:33,12143.000000
t-r_25_-weekday-06:00:00-1-2,shape_450-1-1,3,09:18:31,09:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-2,shape_451-1-1,4,09:18:31,09:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-2,shape_490-1-0,5,09:18:32,09:18:32,43636.000000
t-r_25_-weekday-06:00:00-1-2,shape_490-1-1,6,09:18:33,09:18:33,43641.000000
t-r_25_-weekday-06:00:00-1-2,shape_491-1-0,7,09:18:34,09:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-2,shape_489-1-0,8,09:18:34,09:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-2,shape_450-1-0,9,09:18:35,09:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-2,shape_451-1-0,10,09:18:35,09:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-2,shape_650-1-1,11,09:23:04,09:23:04,44770.000000
t-r_25_-weekday-06:00:00-1-2,shape_650-1-0,12,09:23:04,09:23:04,44771.000000
t-r_25_-weekday-06:00:00-1-2,shape_431-1-0,13,09:34:30,09:34:30,47629.000000
t-r_25_-weekday-06:00:00-1-2,shape_431-1-1,14,09:34:31,09:34:31,47633.000000
t-r_25_-weekday-06:00:00-1-2,shape_574-1-1,15,09:45:39,09:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-2,shape_574-1-0,16,09:45:39,09:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-2,shape_408-1-0,17,10:08:47,10:08:47,56200.000000
t-r_25_-weekday-06:00:00-1-3,shape_408-1-1,0,06:36:00,06:36:00,2.000000
t-r_25_-weekday-06:00:00-1-3,shape_523-1-0,1,07:24:33,07:24:33,12142.000000
t-r_25_-weekday-06:00:00-1-3,shape_523-1-1,2,07:24:33,07:24:33,12143.000000
t-r_25_-weekday-06:00:00-1-3,shape_450-1-1,3,09:30:31,09:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-3,shape_451-1-1,4,09:30:31,09:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-3,shape_490-1-0,5,09:30:32,09:30:32,43636.000000
t-r_25_-weekday-06:00:00-1-3,shape_490-1-1,6,09:30:33,09:30:33,43641.000000
t-r_25_-weekday-06:00:00-1-3,shape_491-1-0,7,09:30:34,09:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-3,shape_489-1-0,8,09:30:34,09:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-3,shape_450-1-0,9,09:30:35,09:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-3,shape_451-1-0,10,09:30:35,09:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-3,shape_650-1-1,11,09:35:04,09:35:04,44770.000000
t-r_25_-weekday-06:00:00-1-3,shape_650-1-0,12,09:35:04,09:35:04,44771.000000
t-r_25_-weekday-06:00:00-1-3,shape_431-1-0,13,09:46:30,09:46:30,47629.000000
t-r_25_-weekday-06:00:00-1-3,shape_431-1-1,14,09:46:31,09:46:31,47633.000000
t-r_25_-weekday-06:00:00-1-3,shape_574-1-1,15,09:57:39,09:57:39,50415.000000
t-r_25_-weekday-06:00:00-1-3,shape_574-1-0,16,09:57:39,09:57:39,50415.000000
t-r_25_-weekday-06:00:00-1-3,shape_408-1-0,17,10:20:47,10:20:47,56200.000000
t-r_25_-weekday-06:00:00-1-4,shape_408-1-1,0,06:48:00,06:48:00,2.000000
t-r_25_-weekday-06:00:00-1-4,shape_523-1-0,1,07:36:33,07:36:33,12142.000000
t-r_25_-weekday-06:00:00-1-4,shape_523-1-1,2,07:36:33,07:36:33,12143.000000
t-r_25_-weekday-06:00:00-1-4,shape_450-1-1,3,09:42:31,09:42:31,43634.000000
t-r_25_-weekday-06:00:00-1-4,shape_451-1-1,4,09:42:31,09:42:31,43634.000000
t-r_25_-weekday-06:00:00-1-4,shape_490-1-0,5,09:42:32,09:42:32,43636.000000
t-r_25_-weekday-06:00:00-1-4,shape_490-1-1,6,09:42:33,09:42:33,43641.000000
t-r_25_-weekday-06:00:00-1-4,shape_491-1-0,7,09:42:34,09:42:34,43644.000000
t-r_25_-weekday-06:00:00-1-4,shape_489-1-0,8,09:42:34,09:42:34,43644.000000
t-r_25_-weekday-06:00:00-1-4,shape_450-1-0,9,09:42:35,09:42:35,43649.000000
t-r_25_-weekday-06:00:00-1-4,shape_451-1-0,10,09:42:35,09:42:35,43649.000000
t-r_25_-weekday-06:00:00-1-4,shape_650-1-1,11,09:47:04,09:47:04,44770.000000
t-r_25_-weekday-06:00:00-1-4,shape_650-1-0,12,09:47:04,09:47:04,44771.000000
t-r_25_-weekday-06:00:00-1-4,shape_431-1-0,13,09:58:30,09:58:30,47629.000000
t-r_25_-weekday-06:00:00-1-4,shape_431-1-1,14,09:58:31,09:58:31,47633.000000
t-r_25_-weekday-06:00:00-1-4,shape_574-1-1,15,10:09:39,10:09:39,50415.000000
t-r_25_-weekday-06:00:00-1-4,shape_574-1-0,16,10:09:39,10:09:39,50415.000000
t-r_25_-weekday-06:00:00-1-4,shape_408-1-0,17,10:32:47,10:32:47,56200.000000
t-r_25_-weekday-06:00:00-1-5,shape_408-1-1,0,07:00:00,07:00:00,2.000000
t-r_25_-weekday-06:00:00-1-5,shape_523-1-0,1,07:48:33,07:48:33,12142.000000
t-r_25_-weekday-06:00:00-1-5,shape_523-1-1,2,07:48:33,07:48:33,12143.000000
t-r_25_-weekday-06:00:00-1-5,shape_450-1-1,3,09:54:31,09:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-5,shape_451-1-1,4,09:54:31,09:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-5,shape_490-1-0,5,09:54:32,09:54:32,43636.000000
t-r_25_-weekday-06:00:00-1-5,shape_490-1-1,6,09:54:33,09:54:33,43641.000000
t-r_25_-weekday-06:00:00-1-5,shape_491-1-0,7,09:54:34,09:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-5,shape_489-1-0,8,09:54:34,09:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-5,shape_450-1-0,9,09:54:35,09:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-5,shape_451-1-0,10,09:54:35,09:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-5,shape_650-1-1,11,09:59:04,09:59:04,44770.000000
t-r_25_-weekday-06:00:00-1-5,shape_650-1-0,12,09:59:04,09:59:04,44771.000000
t-r_25_-weekday-06:00:00-1-5,shape_431-1-0,13,10:10:30,10:10:30,47629.000000
t-r_25_-weekday-06:00:00-1-5,shape_431-1-1,14,10:10:31,10:10:31,47633.000000
t-r_25_-weekday-06:00:00-1-5,shape_574-1-1,15,10:21:39,10:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-5,shape_574-1-0,16,10:21:39,10:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-5,shape_408-1-0,17,10:44:47,10:44:47,56200.000000
t-r_25_-weekday-06:00:00-1-6,shape_408-1-1,0,07:12:00,07:12:00,2.000000
t-r_25_-weekday-06:00:00-1-6,shape_523-1-0,1,08:00:33,08:00:33,12142.000000
t-r_25_-weekday-06:00:00-1-6,shape_523-1-1,2,08:00:33,08:00:33,12143.000000
t-r_25_-weekday-06:00:00-1-6,shape_450-1-1,3,10:06:31,10:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-6,shape_451-1-1,4,10:06:31,10:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-6,shape_490-1-0,5,10:06:32,10:06:32,43636.000000
t-r_25_-weekday-06:00:00-1-6,shape_490-1-1,6,10:06:33,10:06:33,43641.000000
t-r_25_-weekday-06:00:00-1-6,shape_491-1-0,7,10:06:34,10:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-6,shape_489-1-0,8,10:06:34,10:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-6,shape_450-1-0,9,10:06:35,10:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-6,shape_451-1-0,10,10:06:35,10:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-6,shape_650-1-1,11,10:11:04,10:11:04,44770.000000
t-r_25_-weekday-06:00:00-1-6,shape_650-1-0,12,10:11:04,10:11:04,44771.000000
t-r_25_-weekday-06:00:00-1-6,shape_431-1-0,13,10:22:30,10:22:30,47629.000000
t-r_25_-weekday-06:00:00-1-6,shape_431-1-1,14,10:22:31,10:22:31,47633.000000
t-r_25_-weekday-06:00:00-1-6,shape_574-1-1,15,10:33:39,10:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-6,shape_574-1-0,16,10:33:39,10:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-6,shape_408-1-0,17,10:56:47,10:56:47,56200.000000
t-r_25_-weekday-06:00:00-1-7,shape_408-1-1,0,07:24:00,07:24:00,2.000000
t-r_25_-weekday-06:00:00-1-7,shape_523-1-0,1,08:12:33,08:12:33,12142.000000
t-r_25_-weekday-06:00:00-1-7,shape_523-1-1,2,08:12:33,08:12:33,12143.000000
t-r_25_-weekday-06:00:00-1-7,shape_450-1-1,3,10:18:31,10:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-7,shape_451-1-1,4,10:18:31,10:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-7,shape_490-1-0,5,10:18:32,10:18:32,43636.000000
t-r_25_-weekday-06:00:00-1-7,shape_490-1-1,6,10:18:33,10:18:33,43641.000000
t-r_25_-weekday-06:00:00-1-7,shape_491-1-0,7,10:18:34,10:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-7,shape_489-1-0,8,10:18:34,10:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-7,shape_450-1-0,9,10:18:35,10:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-7,shape_451-1-0,10,10:18:35,10:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-7,shape_650-1-1,11,10:23:04,10:23:04,44770.000000
t-r_25_-weekday-06:00:00-1-7,shape_650-1-0,12,10:23:04,10:23:04,44771.000000
t-r_25_-weekday-06:00:00-1-7,shape_431-1-0,13,10:34:30,10:34:30,47629.000000
t-r_25_-weekday-06:00:00-1-7,shape_431-1-1,14,10:34:31,10:34:31,47633.000000
t-r_25_-weekday-06:00:00-1-7,shape_574-1-1,15,10:45:39,10:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-7,shape_574-1-0,16,10:45:39,10:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-7,shape_408-1-0,17,11:08:47,11:08:47,56200.000000
t-r_25_-weekday-06:00:00-1-8,shape_408-1-1,0,07:36:00,07:36:00,2.000000
t-r_25_-weekday-06:00:00-1-8,shape_523-1-0,1,08:24:33,08:24:33,12142.000000
t-r_25_-weekday-06:00:00-1-8,shape_523-1-1,2,08:24:33,08:24:33,12143.000000
t-r_25_-weekday-06:00:00-1-8,shape_450-1-1,3,10:30:31,10:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-8,shape_451-1-1,4,10:30:31,10:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-8,shape_490-1-0,5,10:30:32,10:30:32,43636.000000
t-r_25_-weekday-06:00:00-1-8,shape_490-1-1,6,10:30:33,10:30:33,43641.000000
t-r_25_-weekday-06:00:00-1-8,shape_491-1-0,7,10:30:34,10:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-8,shape_489-1-0,8,10:30:34,10:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-8,shape_450-1-0,9,10:30:35,10:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-8,shape_451-1-0,10,10:30:35,10:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-8,shape_650-1-1,11,10:35:04,10:35:04,44770.000000
t-r_25_-weekday-06:00:00-1-8,shape_650-1-0,12,10:35:04,10:35:04,44771.000000
t-r_25_-weekday-06:00:00-1-8,shape_431-1-0,13,10:46:30,10:46:30,47629.000000
t-r_25_-weekday-06:00:00-1-8,shape_431-1-1,14,10:46:31,10:46:31,47633.000000
t-r_25_-weekday-06:00:00-1-8,shape_574-1-1,15,10:57:39,10:57:39,50415.000000
t-r_25_-weekday-06:00:00-1-8,shape_574-1-0,16,10:57:39,10:57:39,50415.000000
t-r_25_-weekday-06:00:00-1-8,shape_408-1-0,17,11:20:47,11:20:47,56200.000000
t-r_25_-weekday-06:00:00-1-9,shape_408-1-1,0,07:48:00,07:48:00,2.000000
t-r_25_-weekday-06:00:00-1-9,shape_523-1-0,1,08:36:33,08:36:33,12142.000000
t-r_25_-weekday-06:00:00-1-9,shape_523-1-1,2,08:36:33,08:36:33,12143.000000
t-r_25_-weekday-06:00:00-1-9,shape_450-1-1,3,10:42:31,10:42:31,43634.000000
t-r_25_-weekday-06:00:00-1-9,shape_451-1-1,4,10:42:31,10:42:31,43634.000000
t-r_25_-weekday-06:00:00-1-9,shape_490-1-0,5,10:42:32,10:42:32,43636.000000
t-r_25_-weekday-06:00:00-1-9,shape_490-1-1,6,10:42:33,10:42:33,43641.000000
t-r_25_-weekday-06:00:00-1-9,shape_491-1-0,7,10:42:34,10:42:34,43644.000000
t-r_25_-weekday-06:00:00-1-9,shape_489-1-0,8,10:42:34,10:42:34,43644.000000
t-r_25_-weekday-06:00:00-1-9,shape_450-1-0,9,10:42:35,10:42:35,43649.000000
t-r_25_-weekday-06:00:00-1-9,shape_451-1-0,10,10:42:35,10:42:35,43649.000000
t-r_25_-weekday-06:00:00-1-9,shape_650-1-1,11,10:47:04,10:47:04,44770.000000
t-r_25_-weekday-06:00:00-1-9,shape_650-1-0,12,10:47:04,10:47:04,44771.000000
t-r_25_-weekday-06:00:00-1-9,shape_431-1-0,13,10:58:30,10:58:30,47629.000000
t-r_25_-weekday-06:00:00-1-9,shape_431-1-1,14,10:58:31,10:58:31,47633.000000
t-r_25_-weekday-06:00:00-1-9,shape_574-1-1,15,11:09:39,11:09:39,50415.000000
t-r_25_-weekday-06:00:00-1-9,shape_574-1-0,16,11:09:39,11:09:39,50415.000000
t-r_25_-weekday-06:00:00-1-9,shape_408-1-0,17,11:32:47,11:32:47,56200.000000
t-r_25_-weekday-06:00:00-1-10,shape_408-1-1,0,08:00:00,08:00:00,2.000000
t-r_25_-weekday-06:00:00-1-10,shape_523-1-0,1,08:48:33,08:48:33,12142.000000
t-r_25_-weekday-06:00:00-1-10,shape_523-1-1,2,08:48:33,08:48:33,12143.000000
t-r_25_-weekday-06:00:00-1-10,shape_450-1-1,3,10:54:31,10:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-10,shape_451-1-1,4,10:54:31,10:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-10,shape_490-1-0,5,10:54:32,10:54:32,43636.000000
t-r_25_-weekday-06:00:00-1-10,shape_490-1-1,6,10:54:33,10:54:33,43641.000000
t-r_25_-weekday-06:00:00-1-10,shape_491-1-0,7,10:54:34,10:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-10,shape_489-1-0,8,10:54:34,10:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-10,shape_450-1-0,9,10:54:35,10:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-10,shape_451-1-0,10,10:54:35,10:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-10,shape_650-1-1,11,10:59:04,10:59:04,44770.000000
t-r_25_-weekday-06:00:00-1-10,shape_650-1-0,12,10:59:04,10:59:04,44771.000000
t-r_25_-weekday-06:00:00-1-10,shape_431-1-0,13,11:10:30,11:10:30,47629.000000
t-r_25_-weekday-06:00:00-1-10,shape_431-1-1,14,11:10:31,11:10:31,47633.000000
t-r_25_-weekday-06:00:00-1-10,shape_574-1-1,15,11:21:39,11:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-10,shape_574-1-0,16,11:21:39,11:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-10,shape_408-1-0,17,11:44:47,11:44:47,56200.000000
t-r_25_-weekday-06:00:00-1-11,shape_408-1-1,0,08:12:00,08:12:00,2.000000
t-r_25_-weekday-06:00:00-1-11,shape_523-1-0,1,09:00:33,09:00:33,12142.000000
t-r_25_-weekday-06:00:00-1-11,shape_523-1-1,2,09:00:33,09:00:33,12143.000000
t-r_25_-weekday-06:00:00-1-11,shape_450-1-1,3,11:06:31,11:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-11,shape_451-1-1,4,11:06:31,11:06:31,43634.000000
t-r_25_-weekday-06:00:00-1-11,shape_490-1-0,5,11:06:32,11:06:32,43636.000000
t-r_25_-weekday-06:00:00-1-11,shape_490-1-1,6,11:06:33,11:06:33,43641.000000
t-r_25_-weekday-06:00:00-1-11,shape_491-1-0,7,11:06:34,11:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-11,shape_489-1-0,8,11:06:34,11:06:34,43644.000000
t-r_25_-weekday-06:00:00-1-11,shape_450-1-0,9,11:06:35,11:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-11,shape_451-1-0,10,11:06:35,11:06:35,43649.000000
t-r_25_-weekday-06:00:00-1-11,shape_650-1-1,11,11:11:04,11:11:04,44770.000000
t-r_25_-weekday-06:00:00-1-11,shape_650-1-0,12,11:11:04,11:11:04,44771.000000
t-r_25_-weekday-06:00:00-1-11,shape_431-1-0,13,11:22:30,11:22:30,47629.000000
t-r_25_-weekday-06:00:00-1-11,shape_431-1-1,14,11:22:31,11:22:31,47633.000000
t-r_25_-weekday-06:00:00-1-11,shape_574-1-1,15,11:33:39,11:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-11,shape_574-1-0,16,11:33:39,11:33:39,50415.000000
t-r_25_-weekday-06:00:00-1-11,shape_408-1-0,17,11:56:47,11:56:47,56200.000000
t-r_25_-weekday-06:00:00-1-12,shape_408-1-1,0,08:24:00,08:24:00,2.000000
t-r_25_-weekday-06:00:00-1-12,shape_523-1-0,1,09:12:33,09:12:33,12142.000000
t-r_25_-weekday-06:00:00-1-12,shape_523-1-1,2,09:12:33,09:12:33,12143.000000
t-r_25_-weekday-06:00:00-1-12,shape_450-1-1,3,11:18:31,11:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-12,shape_451-1-1,4,11:18:31,11:18:31,43634.000000
t-r_25_-weekday-06:00:00-1-12,shape_490-1-0,5,11:18:32,11:18:32,43636.000000
t-r_25_-weekday-06:00:00-1-12,shape_490-1-1,6,11:18:33,11:18:33,43641.000000
t-r_25_-weekday-06:00:00-1-12,shape_491-1-0,7,11:18:34,11:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-12,shape_489-1-0,8,11:18:34,11:18:34,43644.000000
t-r_25_-weekday-06:00:00-1-12,shape_450-1-0,9,11:18:35,11:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-12,shape_451-1-0,10,11:18:35,11:18:35,43649.000000
t-r_25_-weekday-06:00:00-1-12,shape_650-1-1,11,11:23:04,11:23:04,44770.000000
t-r_25_-weekday-06:00:00-1-12,shape_650-1-0,12,11:23:04,11:23:04,44771.000000
t-r_25_-weekday-06:00:00-1-12,shape_431-1-0,13,11:34:30,11:34:30,47629.000000
t-r_25_-weekday-06:00:00-1-12,shape_431-1-1,14,11:34:31,11:34:31,47633.000000
t-r_25_-weekday-06:00:00-1-12,shape_574-1-1,15,11:45:39,11:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-12,shape_574-1-0,16,11:45:39,11:45:39,50415.000000
t-r_25_-weekday-06:00:00-1-12,shape_408-1-0,17,12:08:47,12:08:47,56200.000000
t-r_25_-weekday-06:00:00-1-13,shape_408-1-1,0,08:36:00,08:36:00,2.000000
t-r_25_-weekday-06:00:00-1-13,shape_523-1-0,1,09:24:33,09:24:33,12142.000000
t-r_25_-weekday-06:00:00-1-13,shape_523-1-1,2,09:24:33,09:24:33,12143.000000
t-r_25_-weekday-06:00:00-1-13,shape_450-1-1,3,11:30:31,11:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-13,shape_451-1-1,4,11:30:31,11:30:31,43634.000000
t-r_25_-weekday-06:00:00-1-13,shape_490-1-0,5,11:30:32,11:30:32,43636.000000
t-r_25_-weekday-06:00:00-1-13,shape_490-1-1,6,11:30:33,11:30:33,43641.000000
t-r_25_-weekday-06:00:00-1-13,shape_491-1-0,7,11:30:34,11:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-13,shape_489-1-0,8,11:30:34,11:30:34,43644.000000
t-r_25_-weekday-06:00:00-1-13,shape_450-1-0,9,11:30:35,11:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-13,shape_451-1-0,10,11:30:35,11:30:35,43649.000000
t-r_25_-weekday-06:00:00-1-13,shape_650-1-1,11,11:35:04,11:35:04,44770.000000
t-r_25_-weekday-06:00:00-1-13,shape_650-1-0,12,11:35:04,11:35:04,44771.000000
t-r_25_-weekday-06:00:00-1-13,shape_431-1-0,13,11:46:30,11:46:30,47629.000000
t-r_25_-weekday-06:00:00-1-13,shape_431-1-1,14,11:46:31,11:46:31,47633.000000
